"Function Name",Count
sprintf,21771
count,14574
substr,11821
is_array,10854
implode,9032
in_array,8649
strlen,8329
str_replace,8100
array_merge,7324
trim,6712
explode,6478
preg_match,5901
function_exists,5577
is_string,5045
array_keys,5009
strpos,4881
strtolower,4435
array_key_exists,4189
array_map,4052
defined,4014
preg_replace,3521
is_null,3293
time,3123
define,3031
dirname,2853
json_encode,2827
file_get_contents,2822
htmlspecialchars,2746
array_filter,2722
class_exists,2668
file_exists,2667
array_values,2583
date,2579
func_get_args,2436
get_class,2329
is_numeric,2255
chr,2187
json_decode,2131
str_contains,2041
urlencode,2037
unlink,1890
str_repeat,1868
header,1859
is_dir,1820
fopen,1818
str_starts_with,1732
pack,1730
fclose,1728
md5,1686
symlink,1602
array_unique,1555
fwrite,1543
basename,1536
is_object,1526
rtrim,1521
array_shift,1506
method_exists,1468
array_pop,1447
printf,1418
strtoupper,1386
is_file,1376
realpath,1344
round,1321
assert,1308
is_callable,1255
reset,1247
ob_start,1214
rand,1204
intval,1197
getenv,1190
max,1182
file_put_contents,1181
base64_encode,1171
ord,1166
ini_get,1151
is_int,1113
microtime,1107
ltrim,1097
array_diff,1057
call_user_func,1038
current,1006
compact,966
ini_set,925
serialize,913
strtotime,905
array_slice,892
call_user_func_array,857
fread,843
uniqid,842
version_compare,825
curl_setopt,794
base64_decode,773
extension_loaded,767
strtr,760
min,757
preg_quote,747
range,743
ob_get_clean,707
preg_match_all,706
array_search,703
sort,692
mkdir,690
array_replace_recursive,686
floor,684
parse_url,676
ucfirst,675
trigger_error,662
ksort,656
end,655
iterator_to_array,643
strrpos,635
getcwd,633
is_resource,629
gmdate,627
is_bool,594
filesize,594
preg_split,585
stripos,579
abs,578
array_unshift,577
sys_get_temp_dir,555
pathinfo,554
array_flip,553
hash,543
unserialize,537
array_reverse,532
join,532
array_column,529
error_reporting,524
mt_rand,521
gettype,512
get_debug_type,512
chdir,510
var_export,489
is_writable,478
is_readable,477
stream_get_contents,472
ceil,466
filter_var,464
feof,463
filemtime,460
str_pad,459
key,453
preg_replace_callback,451
mb_strlen,451
is_a,446
setcookie,444
substr_count,442
ob_end_clean,440
rewind,439
glob,430
readdir,430
strip_tags,425
array_intersect,421
chmod,418
is_scalar,416
urldecode,415
putenv,414
opendir,410
mb_substr,399
stripslashes,377
touch,368
copy,365
lcfirst,362
str_ends_with,358
sleep,355
strncmp,353
date_default_timezone_set,346
array_sum,346
array_push,344
fileperms,344
fgets,338
fputs,336
print_r,335
array_intersect_key,334
set_error_handler,332
usort,332
bcadd,329
addslashes,328
restore_error_handler,327
hexdec,326
rawurlencode,322
fseek,321
array_combine,319
bin2hex,317
http_build_query,313
substr_replace,312
closedir,311
func_num_args,311
unpack,307
shell_exec,298
rmdir,289
tempnam,288
ob_get_contents,287
array_diff_key,282
sha1,279
number_format,279
exec,277
array_fill,276
spl_object_hash,275
array_splice,270
usleep,268
php_uname,263
property_exists,261
array_reduce,260
is_subclass_of,257
file,253
posix_getpwuid,247
headers_sent,246
strstr,244
escapeshellarg,243
strcasecmp,240
html_entity_decode,237
sizeof,236
get_object_vars,236
phpversion,234
fileowner,234
pow,232
dechex,230
array_fill_keys,225
set_time_limit,219
hex2bin,216
parse_str,213
strval,212
clearstatcache,211
iconv,209
mb_convert_encoding,206
mb_strtolower,204
htmlentities,204
flush,204
array_replace,202
array_walk,197
interface_exists,197
rename,197
filegroup,192
ctype_digit,191
is_float,186
random_bytes,185
addcslashes,180
base_convert,179
str_split,177
setlocale,176
array_merge_recursive,174
class_alias,170
random_int,170
asort,168
is_link,167
floatval,166
vsprintf,166
constant,165
log,159
posix_getgrgid,157
bccomp,157
spl_autoload_register,154
var_dump,151
date_default_timezone_get,151
curl_exec,149
curl_init,148
simplexml_load_string,147
strrev,147
passthru,144
system,143
strcmp,142
next,141
rawurldecode,141
spl_object_id,141
uasort,137
ob_clean,137
fsockopen,135
memory_get_usage,135
error_get_last,132
ftell,131
mktime,129
hash_hmac,129
error_log,126
array_chunk,125
session_start,125
substr_compare,124
move_uploaded_file,123
stream_get_meta_data,123
stristr,120
debug_backtrace,120
hash_equals,120
scandir,120
ucwords,119
getimagesize,119
strspn,119
mb_strpos,113
get_cfg_var,113
json_last_error,112
strcspn,109
gzinflate,108
libxml_use_internal_errors,108
curl_close,106
nl2br,105
spl_autoload_unregister,104
mb_internal_encoding,102
popen,102
flock,101
pclose,101
stream_set_blocking,99
htmlspecialchars_decode,99
memory_get_peak_usage,99
array_key_last,96
session_id,96
array_change_key_case,94
mb_detect_encoding,93
decoct,93
mail,92
is_iterable,92
func_get_arg,91
umask,90
readfile,89
bcmul,88
pg_connect,88
crc32,87
strtok,87
ob_flush,86
imagedestroy,85
filectime,85
posix_kill,84
get_current_user,84
array_is_list,83
sscanf,83
class_implements,82
gethostbyname,82
register_shutdown_function,81
pcntl_signal,81
extract,80
wordwrap,78
proc_open,78
stream_context_create,77
stripcslashes,77
curl_getinfo,77
array_key_first,76
strrchr,75
phpinfo,75
imagesx,74
imagecreatetruecolor,74
ftp_connect,74
ftp_login,74
user_error,73
ini_restore,73
get_parent_class,72
imagesy,72
sqrt,72
enum_exists,72
disk_total_space,72
ob_get_level,71
pg_query,70
session_name,69
quoted_printable_decode,68
get_include_path,67
getmypid,66
proc_close,66
fileatime,64
uksort,63
get_class_methods,63
chunk_split,62
krsort,61
imagealphablending,61
openssl_error_string,61
array_walk_recursive,60
get_called_class,60
imagecolorallocate,60
bcdiv,60
set_include_path,59
disk_free_space,59
ftp_close,59
http_response_code,58
restore_exception_handler,57
octdec,56
str_ireplace,56
is_countable,56
json_last_error_msg,55
imagepng,55
ob_end_flush,55
get_resource_type,55
exp,55
filetype,55
pg_close,55
trait_exists,54
shuffle,54
bindec,53
array_rand,53
getdate,51
tmpfile,50
mysqli_query,50
strpbrk,50
chop,50
preg_grep,50
php_sapi_name,50
is_executable,49
mime_content_type,49
imagesavealpha,49
stream_resolve_include_path,49
stat,48
ctype_alpha,48
intdiv,48
ob_implicit_flush,48
is_integer,47
ftruncate,47
arsort,47
sin,47
normalizer_normalize,47
gmmktime,46
curl_errno,46
stream_set_timeout,45
fmod,45
hrtime,45
posix_geteuid,44
is_writeable,43
stream_context_get_options,43
gzcompress,43
normalizer_is_normalized,43
inet_pton,43
mb_strtoupper,42
token_get_all,42
socket_strerror,42
password_hash,42
pg_last_error,42
session_write_close,42
readlink,42
getmyuid,42
getmygid,42
is_uploaded_file,41
escapeshellcmd,41
array_multisort,41
session_status,41
set_exception_handler,41
cos,41
posix_getpid,41
stream_socket_client,40
imagecreatefromstring,40
is_nan,39
md5_file,39
array_pad,39
_,39
diskfreespace,39
strnatcasecmp,38
dir,38
gzuncompress,38
stream_select,38
str_getcsv,38
simplexml_load_file,38
preg_last_error,37
gzencode,37
socket_last_error,37
curl_error,37
ldap_error,37
fputcsv,37
gc_collect_cycles,37
array_diff_assoc,36
gethostname,36
curl_version,36
hash_init,36
bcsub,36
ignore_user_abort,35
imagecolorat,35
pg_fetch_assoc,35
decbin,35
pg_num_fields,35
natcasesort,34
socket_close,34
mysqli_error,34
ldap_connect,34
deg2rad,34
stream_wrapper_register,33
get_defined_constants,33
idn_to_ascii,33
libxml_clear_errors,33
mysqli_real_escape_string,33
ctype_alnum,33
highlight_string,33
levenshtein,32
imagecopy,32
ip2long,32
hash_final,32
stream_wrapper_unregister,31
settype,31
mb_stripos,31
pg_num_rows,31
date_create,30
socket_write,30
imagejpeg,30
xml_parser_free,30
fstat,30
stream_copy_to_stream,30
rsort,29
imagecopyresampled,29
password_verify,29
posix_getegid,29
natsort,28
header_remove,28
gethostbyaddr,28
class_parents,28
mysqli_connect_error,28
highlight_file,28
imap_open,28
crypt,27
mb_strcut,27
imagefill,27
ctype_xdigit,27
imap_close,27
mb_convert_case,26
iconv_strlen,26
pcntl_fork,26
str_rot13,26
get_declared_classes,25
fflush,25
openssl_random_pseudo_bytes,25
curl_setopt_array,25
iterator_count,25
libxml_get_errors,25
pg_field_name,25
chown,24
imagetypes,24
mb_strwidth,24
mt_srand,24
fgetcsv,24
imagecolortransparent,24
fprintf,24
boolval,24
pg_fetch_row,24
exif_read_data,23
socket_create,23
ldap_set_option,23
session_destroy,23
fgetc,23
preg_last_error_msg,22
mb_check_encoding,22
session_regenerate_id,22
hash_update,22
stream_isatty,22
spl_autoload_functions,22
mb_substr_count,22
hash_file,22
ini_alter,22
array_count_values,21
strnatcmp,21
gzdeflate,21
gzopen,21
gzclose,21
chgrp,21
gzdecode,21
getimagesizefromstring,21
pcntl_async_signals,21
password_get_info,21
openssl_decrypt,21
ftp_chdir,21
openssl_pkey_get_details,21
pcntl_signal_dispatch,21
error_clear_last,20
strripos,20
key_exists,20
xml_parser_create,20
xml_parse,20
openssl_sign,20
openssl_encrypt,20
localeconv,20
str_shuffle,20
stream_context_set_option,20
pg_set_client_encoding,20
imap_body,20
fileinode,20
socket_connect,19
imagegif,19
imagecolorsforindex,19
openssl_pkey_new,19
posix_getuid,19
timezone_identifiers_list,18
xml_get_error_code,18
libxml_disable_entity_loader,18
xml_parser_set_option,18
ldap_bind,18
session_get_cookie_params,18
ini_get_all,18
class_uses,18
stream_wrapper_restore,17
socket_read,17
xml_set_element_handler,17
imagecolorallocatealpha,17
finfo_open,17
imagestring,17
hash_algos,17
password_needs_rehash,17
pg_free_result,17
prev,16
gzwrite,16
session_set_save_handler,16
imagesetthickness,16
imagettftext,16
strncasecmp,16
pg_affected_rows,16
is_finite,16
gc_enable,16
mysqli_close,16
stream_get_wrappers,15
gzread,15
imagecreatefrompng,15
ldap_errno,15
syslog,15
imagesetpixel,15
iconv_strpos,15
dns_get_record,15
fpassthru,15
get_loaded_extensions,15
ftp_put,15
opcache_invalidate,15
stream_is_local,15
imagefttext,15
array_intersect_assoc,14
socket_set_option,14
imagerotate,14
imagecreatefromgif,14
xml_get_current_line_number,14
xml_set_character_data_handler,14
image_type_to_mime_type,14
openssl_pkcs7_sign,14
stream_socket_enable_crypto,14
finfo_file,14
ctype_upper,14
acos,14
posix_isatty,14
openssl_pkey_export,14
ftp_get,14
imageftbbox,14
imagefilledrectangle,14
parse_ini_file,14
xml_error_string,13
openssl_pkey_get_private,13
imagettfbbox,13
cli_set_process_title,13
stream_socket_get_name,13
igbinary_serialize,13
pcntl_waitpid,13
stream_filter_append,13
simplexml_import_dom,12
imagefilter,12
mb_ord,12
grapheme_substr,12
mb_str_split,12
iconv_substr,12
is_infinite,12
mt_getrandmax,12
get_class_vars,12
inet_ntop,12
ftp_nlist,12
proc_get_status,12
filter_input,12
fnmatch,12
imageinterlace,12
gmp_init,12
gd_info,11
headers_list,11
quoted_printable_encode,11
strftime,11
log10,11
openssl_x509_parse,11
finfo_close,11
mb_strrpos,11
grapheme_strlen,11
date_parse,11
stream_socket_server,11
curl_multi_remove_handle,11
hash_pbkdf2,11
ftp_delete,11
getopt,11
ctype_lower,11
pcntl_alarm,11
imap_list,11
ldap_escape,11
get_defined_functions,10
utf8_encode,10
ob_get_length,10
imagecreatefromjpeg,10
checkdate,10
session_set_cookie_params,10
ctype_space,10
imagecreate,10
mb_substitute_character,10
posix_setsid,10
imagewebp,10
curl_multi_add_handle,10
openssl_cipher_iv_length,10
ftp_mkdir,10
opcache_reset,10
ftp_pwd,10
pcntl_sigprocmask,10
socket_accept,9
xml_set_object,9
mb_list_encodings,9
sha1_file,9
ftp_rmdir,9
ftp_chmod,9
array_udiff,9
mb_encode_numericentity,9
pcntl_wexitstatus,9
date_create_from_format,9
stream_get_line,9
mysqli_num_rows,9
curl_multi_setopt,9
proc_terminate,9
token_name,8
exif_imagetype,8
imageistruecolor,8
gethostbynamel,8
grapheme_extract,8
pcntl_signal_get_handler,8
stream_socket_accept,8
curl_multi_exec,8
gmp_strval,8
pg_field_type,8
ftp_pasv,8
mb_ereg_replace,8
ftp_raw,8
stream_socket_sendto,8
get_defined_vars,8
session_cache_limiter,8
openssl_verify,8
intl_get_error_message,8
ldap_add,8
tan,8
libxml_get_last_error,7
gc_enabled,7
is_double,7
stream_set_chunk_size,7
mysqli_init,7
long2ip,7
ldap_start_tls,7
ldap_get_option,7
openlog,7
mb_encode_mimeheader,7
openssl_get_privatekey,7
imageline,7
pg_version,7
mb_strimwidth,7
hash_hmac_algos,7
bcpow,7
dl,7
mb_decode_mimeheader,7
utf8_decode,7
gc_disable,7
ftp_size,7
mysqli_report,7
array_diff_ukey,7
bzcompress,7
intl_get_error_code,7
openssl_pkey_get_public,7
openssl_pkcs7_decrypt,7
iconv_mime_decode,6
socket_bind,6
socket_listen,6
timezone_open,6
xml_get_current_column_number,6
xml_parse_into_struct,6
mysqli_real_connect,6
count_chars,6
socket_set_timeout,6
imagecolorstotal,6
ldap_search,6
session_unset,6
iconv_strrpos,6
mysqli_connect_errno,6
asin,6
atan2,6
openssl_x509_export,6
get_included_files,6
curl_multi_init,6
imagecreatefromwebp,6
ftp_rename,6
pi,6
shmop_read,6
preg_filter,6
filter_input_array,6
openssl_pkey_free,6
array_uintersect,6
lstat,6
ftp_fput,6
ftp_rawlist,6
get_declared_interfaces,6
mysqli_fetch_row,6
mysqli_fetch_assoc,6
easter_days,6
curl_share_setopt,6
readline_info,6
openssl_public_encrypt,6
ldap_explode_dn,6
php_ini_loaded_file,6
imagefilledpolygon,6
intl_is_failure,6
socket_getsockname,5
iptcparse,5
date_format,5
get_html_translation_table,5
xml_parser_create_ns,5
stream_set_read_buffer,5
mysqli_affected_rows,5
zend_version,5
ldap_get_entries,5
pg_escape_string,5
mb_regex_encoding,5
mb_chr,5
rad2deg,5
imagecreatefrombmp,5
parse_ini_string,5
openssl_csr_new,5
curl_multi_info_read,5
openssl_get_cipher_methods,5
rewinddir,5
str_word_count,5
connection_aborted,5
get_headers,5
pcntl_wait,5
ftp_fget,5
stream_socket_shutdown,5
sodium_crypto_box_publickey,5
get_declared_traits,5
pg_field_table,5
closelog,5
mb_send_mail,5
stream_context_get_params,5
curl_multi_select,5
fscanf,5
cli_get_process_title,5
imageflip,5
imagepolygon,5
locale_get_display_name,5
curl_pause,5
stream_filter_remove,5
imagesetstyle,5
mb_detect_order,4
xml_get_current_byte_index,4
mysqli_set_charset,4
mysqli_fetch_field,4
socket_get_status,4
imageantialias,4
mb_convert_variables,4
pg_result_error_field,4
pg_get_result,4
idn_to_utf8,4
date_add,4
date_interval_create_from_date_string,4
openssl_x509_read,4
openssl_csr_sign,4
curl_multi_close,4
imagecolorclosest,4
imagerectangle,4
array_udiff_assoc,4
openssl_get_publickey,4
ftp_ssl_connect,4
ftp_mdtm,4
sodium_crypto_box_seal_open,4
sodium_crypto_box_keypair,4
similar_text,4
array_intersect_uassoc,4
mysqli_connect,4
posix_uname,4
link,4
pg_fetch_array,4
ftp_quit,4
srand,4
pg_errormessage,4
array_intersect_ukey,4
pg_result_error,4
sys_getloadavg,4
bindtextdomain,4
pg_result_status,4
session_save_path,4
hash_update_stream,4
readline_clear_history,4
stream_set_write_buffer,4
socket_import_stream,4
openssl_private_decrypt,4
connection_status,4
imageresolution,4
ldap_unbind,4
stream_get_filters,4
timezone_offset_get,3
ob_get_flush,3
gzputs,3
mb_get_info,3
mysqli_free_result,3
mysqli_errno,3
mysqli_insert_id,3
mysqli_get_server_info,3
imagetruecolortopalette,3
openssl_pkcs7_encrypt,3
mb_strripos,3
pg_fetch_all,3
image_type_to_extension,3
ldap_parse_result,3
readline,3
pg_result_seek,3
imagecopymerge,3
imagefontwidth,3
imagefontheight,3
posix_get_last_error,3
timezone_name_from_abbr,3
openssl_pkey_export_to_file,3
imap_rfc822_parse_adrlist,3
imap_errors,3
session_register_shutdown,3
opcache_compile_file,3
gc_status,3
openssl_free_key,3
sodium_crypto_pwhash,3
libxml_set_external_entity_loader,3
dom_import_simplexml,3
session_commit,3
ftp_set_option,3
date_create_immutable_from_format,3
sodium_crypto_box_seal,3
sodium_crypto_pwhash_str_verify,3
forward_static_call,3
pg_fetch_result,3
posix_getgid,3
show_source,3
linkinfo,3
register_tick_function,3
socket_send,3
socket_getpeername,3
getservbyport,3
checkdnsrr,3
hash_hkdf,3
ob_list_handlers,3
readline_add_history,3
ob_get_status,3
opcache_get_status,3
gc_mem_caches,3
deflate_add,3
imagescale,3
finfo_buffer,3
sem_get,3
sem_acquire,3
imagebmp,3
ctype_print,3
openssl_pkcs7_verify,3
php_ini_scanned_files,3
imagefilledellipse,3
session_abort,3
socket_addrinfo_lookup,3
socket_addrinfo_explain,3
opcache_is_script_cached,3
openssl_x509_fingerprint,3
dba_open,3
timezone_transitions_get,2
xml_set_default_handler,2
xml_set_start_namespace_decl_handler,2
xml_set_end_namespace_decl_handler,2
mysqli_fetch_array,2
mysqli_select_db,2
mysqli_more_results,2
mysqli_next_result,2
mysqli_fetch_object,2
mysqli_character_set_name,2
mysqli_num_fields,2
grapheme_stripos,2
grapheme_strpos,2
grapheme_strripos,2
grapheme_strrpos,2
setrawcookie,2
pg_fetch_object,2
sinh,2
cosh,2
tanh,2
atan,2
bcscale,2
bcmod,2
ldap_first_entry,2
ldap_get_attributes,2
ldap_read,2
curl_reset,2
pg_connection_status,2
pg_ping,2
pg_escape_literal,2
pg_last_oid,2
pg_field_size,2
iconv_mime_encode,2
posix_strerror,2
filter_var_array,2
quotemeta,2
session_create_id,2
gzeof,2
igbinary_unserialize,2
pcntl_errno,2
pcntl_strerror,2
sodium_crypto_aead_chacha20poly1305_ietf_encrypt,2
sodium_crypto_aead_chacha20poly1305_ietf_decrypt,2
bzopen,2
bzwrite,2
bzclose,2
posix_getgrnam,2
php_strip_whitespace,2
sodium_crypto_sign_verify_detached,2
ftp_systype,2
sodium_bin2hex,2
sodium_crypto_generichash,2
sodium_increment,2
sodium_crypto_pwhash_str,2
vprintf,2
strcoll,2
convert_uuencode,2
imap_mail,2
socket_shutdown,2
getprotobyname,2
socket_recv,2
forward_static_call_array,2
date_create_immutable,2
mysqli_options,2
session_module_name,2
imagecolordeallocate,2
transliterator_transliterate,2
datefmt_create,2
getmxrr,2
lchown,2
lchgrp,2
curl_share_init,2
curl_strerror,2
readline_read_history,2
readline_write_history,2
stream_socket_recvfrom,2
inflate_init,2
inflate_add,2
deflate_init,2
ldap_mod_add,2
ldap_delete,2
stream_context_get_default,2
stream_context_set_default,2
imagepalettetotruecolor,2
ctype_graph,2
gettimeofday,2
stream_get_transports,2
imageconvolution,2
socket_get_option,2
spl_autoload_call,2
imagearc,2
locale_parse,2
locale_compose,2
ldap_rename,2
mysqli_ssl_set,2
localtime,1
doubleval,1
mysqli_ping,1
mysqli_get_client_info,1
mb_stristr,1
mb_strstr,1
idate,1
mb_ereg_search_init,1
mb_ereg_search,1
mb_ereg_search_getregs,1
mb_ereg_search_regs,1
asinh,1
acosh,1
atanh,1
mb_ereg,1
gmp_add,1
gmp_mul,1
debug_zval_dump,1
pg_pconnect,1
cal_days_in_month,1
shmop_open,1
shmop_size,1
timezone_abbreviations_list,1
hash_hmac_file,1
get_meta_tags,1
iptcembed,1
getrusage,1
array_product,1
numfmt_create,1
bzread,1
mb_decode_numericentity,1
ftp_cdup,1
curl_multi_getcontent,1
get_resource_id,1
stream_bucket_make_writeable,1
stream_bucket_append,1
stream_filter_register,1
ftp_get_option,1
ftp_site,1
is_long,1
sodium_compare,1
sodium_crypto_aead_aes256gcm_is_available,1
sodium_crypto_aead_chacha20poly1305_decrypt,1
sodium_crypto_aead_chacha20poly1305_encrypt,1
sodium_crypto_aead_xchacha20poly1305_ietf_decrypt,1
sodium_crypto_aead_xchacha20poly1305_ietf_encrypt,1
sodium_crypto_auth,1
sodium_crypto_auth_verify,1
sodium_crypto_box,1
sodium_crypto_box_keypair_from_secretkey_and_publickey,1
sodium_crypto_box_open,1
sodium_crypto_box_publickey_from_secretkey,1
sodium_crypto_box_secretkey,1
sodium_crypto_box_seed_keypair,1
sodium_crypto_generichash_final,1
sodium_crypto_generichash_init,1
sodium_crypto_generichash_update,1
sodium_crypto_pwhash_scryptsalsa208sha256,1
sodium_crypto_pwhash_scryptsalsa208sha256_str,1
sodium_crypto_pwhash_scryptsalsa208sha256_str_verify,1
sodium_crypto_scalarmult,1
sodium_crypto_scalarmult_base,1
sodium_crypto_secretbox,1
sodium_crypto_secretbox_open,1
sodium_crypto_shorthash,1
sodium_crypto_sign,1
sodium_crypto_sign_open,1
sodium_crypto_sign_keypair,1
sodium_crypto_sign_keypair_from_secretkey_and_publickey,1
sodium_crypto_sign_seed_keypair,1
sodium_crypto_sign_publickey,1
sodium_crypto_sign_publickey_from_secretkey,1
sodium_crypto_sign_secretkey,1
sodium_crypto_sign_detached,1
sodium_crypto_sign_ed25519_pk_to_curve25519,1
sodium_crypto_sign_ed25519_sk_to_curve25519,1
sodium_crypto_stream,1
sodium_crypto_stream_xor,1
sodium_crypto_stream_xchacha20,1
sodium_crypto_stream_xchacha20_xor,1
sodium_hex2bin,1
sodium_memcmp,1
sodium_memzero,1
sodium_pad,1
sodium_unpad,1
sodium_crypto_core_ristretto255_is_valid_point,1
sodium_crypto_core_ristretto255_add,1
sodium_crypto_core_ristretto255_sub,1
sodium_crypto_core_ristretto255_from_hash,1
sodium_crypto_core_ristretto255_random,1
sodium_crypto_core_ristretto255_scalar_random,1
sodium_crypto_core_ristretto255_scalar_invert,1
sodium_crypto_core_ristretto255_scalar_negate,1
sodium_crypto_core_ristretto255_scalar_complement,1
sodium_crypto_core_ristretto255_scalar_add,1
sodium_crypto_core_ristretto255_scalar_sub,1
sodium_crypto_core_ristretto255_scalar_mul,1
sodium_crypto_scalarmult_ristretto255,1
sodium_crypto_scalarmult_ristretto255_base,1
sodium_crypto_core_ristretto255_scalar_reduce,1
socket_set_blocking,1
posix_setpgid,1
zstd_compress,1
array_diff_uassoc,1
getlastmod,1
zip_open,1
zip_read,1
zip_entry_name,1
zip_entry_filesize,1
zip_entry_compressedsize,1
zip_entry_compressionmethod,1
zip_close,1
convert_uudecode,1
socket_set_nonblock,1
socket_select,1
posix_getcwd,1
strchr,1
getmyinode,1
pcntl_exec,1
mb_eregi_replace,1
pdo_drivers,1
pg_send_prepare,1
pg_send_query,1
pg_fetch_all_columns,1
pg_escape_identifier,1
pg_escape_bytea,1
pg_send_execute,1
session_decode,1
session_encode,1
mb_parse_str,1
pcntl_wifexited,1
transliterator_create_from_rules,1
getservbyname,1
transliterator_create,1
zlib_decode,1
openssl_get_md_methods,1
readline_completion_function,1
readline_callback_handler_remove,1
readline_list_history,1
readline_redisplay,1
stream_context_set_params,1
stream_socket_pair,1
mb_strrchr,1
posix_getpwnam,1
posix_setgid,1
posix_initgroups,1
posix_setuid,1
sem_release,1
imagexbm,1
imagewbmp,1
imagecreatefromxbm,1
imagecreatefromwbmp,1
ftp_mlsd,1
date_diff,1
ob_gzhandler,1
preg_replace_callback_array,1
imagecrop,1
imagecolorresolvealpha,1
imagegammacorrect,1
imagecropauto,1
imagecopyresized,1
imap_8bit,1
gmstrftime,1
pfsockopen,1
socket_sendto,1
curl_multi_strerror,1
ldap_exop_whoami,1
ldap_modify,1
ldap_mod_del,1
ldap_modify_batch,1
ldap_count_entries,1
ldap_next_entry,1
ldap_get_dn,1
ldap_free_result,1
sem_remove,1
socket_export_stream,1
dba_list,1
pg_lo_tell,1
pg_connection_busy,1
pg_transaction_status,1
pg_get_pid,1
pg_last_notice,1
pg_host,1
pg_port,1
pg_dbname,1
pg_options,1
pg_parameter_status,1
pg_client_encoding,1
pg_field_type_oid,1
pg_field_is_null,1
pg_field_prtlen,1
openssl_csr_get_subject,1
sodium_crypto_pwhash_str_needs_rehash,1
proc_nice,1
posix_getpgid,1
imageellipse,1
mysqli_prepare,1
date_timezone_set,1
